trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9900498337491681}",25,0,-45.286228608728656,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.01, 'e': 0.9801986733067553}",30,0,-150.4119212079866,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9704455335485082}",25,0,-82.22127932783842,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9607894391523232}",25,0,-80.25016094122492,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.951229424500714}",30,0,-67.5809550714684,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9417645335842487}",25,0,-177.82678415516253,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.9323938199059483}",25,11,-34.34801375498172,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-124.63031165886845,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-58.83180463741467,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-74.38742218362138,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.8958341352965282}",25,0,-52.333522066937036,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.8869204367171575}",20,0,-86.02602891772702,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,14,-12.428400455700402,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
