trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,2,-163.13495276459275,"{0: 15, 1: 4, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.20229483929913,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.15206542187445,"{0: 22, 1: 1, 2: 1, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-100.39366773570781,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.95543710858233,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.54846212950812,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.65131497153739,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",35,0,-244.52409679059085,"{0: 16, 1: 4, 2: 11, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.54511153528554,"{0: 18, 1: 3, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.610375790961484,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-164.05848240443942,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.88146622044525,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-41.947389082299495,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.28233988147909,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,5,-30.004388237762374,"{0: 9, 1: 3, 2: 3, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.55887313366438,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,6,-113.55214081998416,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-219.64491816474234,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.77370246179771,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.39258833003035,"{0: 12, 1: 7, 2: 2, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.90230108578099,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,5,-39.26677597216442,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-215.95104291084382,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-183.11560573025278,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.66713107708317,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.7108313321593,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-169.50694773071012,"{0: 20, 1: 5, 2: 1, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,2,-119.17679269290623,"{0: 15, 1: 2, 2: 3, 3: 1, 4: 2}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-119.94521244079704,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-60.70583537068264,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
